gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG000002100822,906077.336326307,2.31874232732626,0.0247412844921444,0,0
ENSG000001987862,299123.223597138,1.11493575849987,0.0289180854670167,0,0
ENSG000002101962,3257.34146881703,1.95082373549886,0.0531222458105271,1.75250553882945e-297,8.86358884688644e-294
ENSG000001988992,118644.015902942,-1.10947719539655,0.0302309138251798,4.81503727866021e-296,1.82646401572778e-292
ENSG000002710431,2613.24157430187,1.98136033114962,0.0551259861810194,9.55166081046382e-285,2.89854698954335e-281
ENSG000002282531,43925.5144294409,-1.33211545096277,0.0396909944864483,2.65843538347965e-248,6.72274001225612e-245
ENSG000001743075,2327.67277022252,2.07409875229673,0.0693557202657702,1.77020828237032e-198,3.83705289548641e-195
ENSG000002476272,3441.76824658812,-1.92186309570086,0.0659670204157489,6.89828756214823e-187,1.30834646475594e-183
ENSG000001988402,32646.9621345501,0.752664189713625,0.0262579338058636,1.65962982130907e-181,2.79795147541362e-178
ENSG000002690282,2034.82085781662,1.99640572176592,0.0699582607025914,1.9640479588823e-180,2.98004996801211e-177
ENSG000002114592,241983.394232237,3.34701526427294,0.119949019202888,1.74907801217634e-173,2.41261460715923e-170
ENSG000002485271,28954.5871885152,-0.956988109772596,0.038998795091434,5.82329623062896e-134,7.36307280894444e-131
ENSG000001350469,702.197270564804,2.70694325090243,0.115014868560044,8.86456379552817e-125,1.03463097284268e-121
ENSG000001247629,560.868515893938,2.56837440623944,0.111467611343501,9.64234657173289e-119,1.04502374666359e-115
ENSG000001305136,416.72037787964,3.2420287694582,0.140836688601791,3.43427805401919e-118,3.47388672757554e-115
ENSG0000011401910,1868.60850489966,1.53971368617888,0.0693587989633525,1.14054152969458e-109,1.08158978937849e-106
ENSG000002100491,358.578675120473,4.86443011020902,0.222088987843575,4.08545150509407e-108,3.64638562863484e-105
ENSG000001987272,211316.801492057,0.707719679936893,0.0326283833084326,4.12936723298531e-105,3.48082716811589e-102
ENSG0000018102613,4728.26226292931,0.834615714227254,0.0417075529479662,3.76052286182241e-90,3.00307438854902e-87
ENSG000001593885,408.995191383564,2.6574191933047,0.140969477698413,4.72861697103641e-80,3.58736526507677e-77
ENSG000001986952,145585.989307391,1.90691007906973,0.101805098515878,1.51730138981336e-79,1.09628638036372e-76
ENSG0000014563210,525.860878877564,2.30855856990255,0.123597442980804,2.07005623020987e-79,1.42768014458975e-76
ENSG000001755924,609.347310580411,2.29501690379327,0.123494232000159,1.60788721050764e-77,1.06071620195793e-74
ENSG000001822879,7026.39390033025,-0.7494131918664,0.0406741257322482,9.41298533307223e-77,5.9509677691127e-74
ENSG000001167177,1796.79649642915,1.12859880406956,0.0618079677557742,1.72502414150349e-75,1.0469516519613e-72
ENSG0000014041615,10088.6456703876,0.647063543417323,0.0364200402208912,7.3256962038802e-72,4.27510725005671e-69
ENSG000001489265,1391.56818687931,1.28866908160696,0.0727316306770344,1.15022373388354e-71,6.4638313756352e-69
ENSG0000013227411,1046.27723509501,1.71191281066519,0.0996424189423129,1.27760475013421e-66,6.92324888349512e-64
ENSG0000008830514,25069.6025498627,-0.467412476395845,0.0273369641919193,1.66360551216634e-66,8.70409877106893e-64
ENSG000001063667,548.710892831318,1.86125942847858,0.109916070067749,2.04373675818461e-65,1.03365392773117e-62
ENSG0000016028510,8332.14707194484,-0.584970522366617,0.0348144218759072,2.15775593143768e-64,1.05611712089368e-61
ENSG0000014472414,3267.14117767954,-0.828249505858173,0.0498708251677987,5.2154588901111e-63,2.47294242936424e-60
ENSG000001850888,974.928661513088,1.38331608687936,0.0835769987985586,8.88071278161892e-63,4.08324409198497e-60
ENSG000001387728,361.85814690678,2.23713149180061,0.135993949226925,2.72801147849144e-62,1.21741524009267e-59
ENSG0000016078915,3298.21766869052,0.91852935194898,0.0559342282674001,3.97540989674886e-62,1.72339698181058e-59
ENSG000000063279,1542.67174098597,1.05148467513304,0.0655751334726351,4.33619931731917e-59,1.82758756226899e-56
ENSG0000018563014,11176.6187145345,-0.615589689895056,0.0382238119820085,4.70420531583613e-59,1.92910560154545e-56
ENSG000001249429,2186.00087089734,1.10015301170232,0.0699266202907757,1.67185542663804e-56,6.67554273378393e-54
ENSG000001062787,13237.1002888948,-0.551358319322523,0.0352393627465361,3.66209507324227e-56,1.42474278323859e-53
ENSG0000008708815,2286.94997735995,0.860553557726923,0.0565719546534229,1.55189891235448e-53,5.88674054928861e-51
