,Geneid,_filesTien_Cont1_S25sorted,_filesTien_Cont2_S26sorted,_filesTien_Cont3_S27sorted,_filesTien_Zn1_S28sorted,_filesTien_Zn2_S29sorted,_filesTien_Zn3_S30sorted
0,ENSG00000223972,0,4,1,0,5,0
1,ENSG00000227232,34,531,758,632,558,496
2,ENSG00000243485,0,1,2,0,0,1
3,ENSG00000237613,0,0,0,0,0,0
4,ENSG00000268020,0,0,0,0,0,0
5,ENSG00000240361,0,0,0,0,0,0
6,ENSG00000186092,0,0,0,0,0,0
7,ENSG00000238009,0,0,2,0,0,1
8,ENSG00000239945,0,0,0,0,0,0
9,ENSG00000233750,0,4,2,0,2,0
10,ENSG00000237683,5,60,92,108,87,63
11,ENSG00000268903,0,0,0,1,2,0
12,ENSG00000269981,0,0,0,0,0,0
13,ENSG00000239906,0,0,0,2,0,0
14,ENSG00000241860,0,7,16,13,17,15
15,ENSG00000222623,0,0,0,0,0,0
16,ENSG00000241599,0,0,1,0,0,0
17,ENSG00000228463,0,4,5,33,6,10
18,ENSG00000241670,0,0,0,0,0,0
19,ENSG00000237094,2,17,30,21,25,16
20,ENSG00000250575,0,4,1,1,0,0
21,ENSG00000233653,0,0,0,0,0,0
22,ENSG00000224813,0,0,0,0,0,0
23,ENSG00000235249,0,0,0,0,0,0
24,ENSG00000269732,0,0,0,0,0,0
25,ENSG00000256186,0,0,0,0,0,0
26,ENSG00000236601,0,0,0,0,0,0
27,ENSG00000236743,0,0,0,0,0,0
28,ENSG00000236679,0,0,0,0,0,0
29,ENSG00000231709,0,1,3,3,2,2
30,ENSG00000235146,0,1,2,6,1,2
31,ENSG00000239664,0,0,0,1,0,0
32,ENSG00000230021,0,5,0,2,2,0
33,ENSG00000223659,0,2,2,4,1,1
34,ENSG00000225972,7,202,332,831,648,630
35,ENSG00000225630,1674,22737,36789,37192,31372,32823
36,ENSG00000237973,265,3234,26372,2861,2757,1677
37,ENSG00000229344,48,782,872,586,575,351
38,ENSG00000240409,12,201,287,90,72,41
39,ENSG00000248527,3976,57142,84119,35841,30576,20673
40,ENSG00000198744,29,512,677,214,233,167
41,ENSG00000268663,0,0,0,0,0,0
42,ENSG00000185097,0,0,0,0,0,0
43,ENSG00000229376,0,12,8,10,6,1
44,ENSG00000224956,0,16,24,25,11,16
45,ENSG00000235373,3,22,31,29,55,30
46,ENSG00000223181,0,0,0,0,0,0
47,ENSG00000240618,0,1,0,4,4,1
48,ENSG00000229905,0,0,0,1,0,0
49,ENSG00000228327,2,65,95,85,73,26
50,ENSG00000237491,7,86,137,93,94,72
51,ENSG00000230092,0,5,9,4,4,2
52,ENSG00000269831,0,5,3,6,4,4
53,ENSG00000240453,0,0,0,0,0,0
54,ENSG00000177757,0,4,3,6,6,3
55,ENSG00000225880,0,35,34,40,42,29
56,ENSG00000228794,11,265,385,395,354,225
57,ENSG00000230368,0,1,2,0,0,0
58,ENSG00000234711,0,2,0,0,0,0
59,ENSG00000269308,0,0,0,0,0,0
60,ENSG00000272438,4,32,42,44,26,15
61,ENSG00000230699,13,179,258,216,165,135
62,ENSG00000241180,0,0,4,2,4,1
63,ENSG00000223764,12,184,256,237,239,160
64,ENSG00000187634,24,396,673,652,531,370
65,ENSG00000268179,0,6,7,6,6,5
66,ENSG00000188976,480,6727,9724,8698,7480,5358
67,ENSG00000187961,87,1196,1653,1757,1600,1037
68,ENSG00000187583,7,44,45,114,72,38
69,ENSG00000187642,0,6,14,17,8,5
70,ENSG00000272512,1,17,26,54,47,31
71,ENSG00000188290,21,327,417,747,669,450
72,ENSG00000231702,1,7,11,20,13,11
73,ENSG00000224969,1,4,7,10,15,6
74,ENSG00000187608,15,112,179,145,134,93
75,ENSG00000188157,744,9408,13382,14125,12196,7998
76,ENSG00000242590,0,0,0,0,0,0
77,ENSG00000217801,1,32,46,55,104,57
78,ENSG00000273443,0,4,7,8,4,8
79,ENSG00000237330,0,0,0,2,1,0
80,ENSG000001315911,34,494,680,679,551,345
81,ENSG00000223823,0,0,0,0,0,0
