Geneid	_filesTien_Cont1_S25sorted	_filesTien_Cont2_S26sorted	_filesTien_Cont3_S27sorted	_filesTien_Zn1_S28sorted	_filesTien_Zn2_S29sorted	_filesTien_Zn3_S30sorted
ENSG000002239724	0	4	1	0	5	0
ENSG000002272324	34	531	758	632	558	496
ENSG000002434852	0	1	2	0	0	1
ENSG000002376132	0	0	0	0	0	0
ENSG000002680202	0	0	0	0	0	0
ENSG000002403611	0	0	0	0	0	0
ENSG000001860924	0	0	0	0	0	0
ENSG000002380092	0	0	2	0	0	1
ENSG000002399451	0	0	0	0	0	0
ENSG000002337503	0	4	2	0	2	0
ENSG000002376835	5	60	92	108	87	63
ENSG000002689031	0	0	0	1	2	0
ENSG000002699811	0	0	0	0	0	0
ENSG000002399061	0	0	0	2	0	0
ENSG000002418602	0	7	16	13	17	15
ENSG000002226231	0	0	0	0	0	0
ENSG000002415991	0	0	1	0	0	0
ENSG000002284634	0	4	5	33	6	10
ENSG000002416702	0	0	0	0	0	0
ENSG000002370947	2	17	30	21	25	16
ENSG000002505751	0	4	1	1	0	0
ENSG000002336533	0	0	0	0	0	0
ENSG000002248132	0	0	0	0	0	0
ENSG000002352491	0	0	0	0	0	0
ENSG000002697321	0	0	0	0	0	0
ENSG000002561861	0	0	0	0	0	0
ENSG000002366011	0	0	0	0	0	0
ENSG000002367431	0	0	0	0	0	0
ENSG000002366792	0	0	0	0	0	0
ENSG000002317091	0	1	3	3	2	2
ENSG000002351462	0	1	2	6	1	2
ENSG000002396642	0	0	0	1	0	0
ENSG000002300213	0	5	0	2	2	0
ENSG000002236591	0	2	2	4	1	1
ENSG000002259721	7	202	332	831	648	630
ENSG000002256301	1674	22737	36789	37192	31372	32823
ENSG000002379731	265	3234	26372	2861	2757	1677
ENSG000002293441	48	782	872	586	575	351
ENSG000002404091	12	201	287	90	72	41
ENSG000002485271	3976	57142	84119	35841	30576	20673
ENSG000001987445	29	512	677	214	233	167
ENSG000002686631	0	0	0	0	0	0
ENSG000001850972	0	0	0	0	0	0
ENSG000002293763	0	12	8	10	6	1
ENSG000002249565	0	16	24	25	11	16
ENSG000002353731	3	22	31	29	55	30
ENSG000002231811	0	0	0	0	0	0
ENSG000002406181	0	1	0	4	4	1
ENSG000002299051	0	0	0	1	0	0
ENSG000002283272	2	65	95	85	73	26
ENSG000002374914	7	86	137	93	94	72
ENSG000002300923	0	5	9	4	4	2
ENSG000002698311	0	5	3	6	4	4
ENSG000002404531	0	0	0	0	0	0
ENSG000001777571	0	4	3	6	6	3
ENSG000002258804	0	35	34	40	42	29
ENSG000002287944	11	265	385	395	354	225
ENSG000002303682	0	1	2	0	0	0
ENSG000002347111	0	2	0	0	0	0
ENSG000002693081	0	0	0	0	0	0
ENSG000002724381	4	32	42	44	26	15
ENSG000002306992	13	179	258	216	165	135
ENSG000002411801	0	0	4	2	4	1
ENSG000002237642	12	184	256	237	239	160
ENSG000001876346	24	396	673	652	531	370
ENSG000002681791	0	6	7	6	6	5
ENSG000001889766	480	6727	9724	8698	7480	5358
ENSG000001879619	87	1196	1653	1757	1600	1037
ENSG000001875836	7	44	45	114	72	38
ENSG000001876425	0	6	14	17	8	5
ENSG000002725121	1	17	26	54	47	31
ENSG000001882906	21	327	417	747	669	450
ENSG000002317022	1	7	11	20	13	11
ENSG000002249691	1	4	7	10	15	6
ENSG000001876085	15	112	179	145	134	93
ENSG000001881579	744	9408	13382	14125	12196	7998
ENSG000002425901	0	0	0	0	0	0
ENSG000002178015	1	32	46	55	104	57
ENSG000002734431	0	4	7	8	4	8
ENSG000002373302	0	0	0	2	1	0
ENSG0000013159113	34	494	680	679	551	345
ENSG000002238231	0	0	0	0	0	0
ENSG000002077301	0	0	0	0	0	0
ENSG000002076071	0	0	0	0	0	0
ENSG000001989761	0	1	0	0	0	0
ENSG000002721411	0	0	4	3	2	0
ENSG000002052311	0	0	0	4	0	0
ENSG000001625719	2	1	0	0	0	2
ENSG000001868919	0	10	7	3	10	2
ENSG000001868276	0	0	2	2	2	0
ENSG0000007880812	286	4164	6133	5113	4488	3088
ENSG000001760223	168	2272	3125	2520	2304	1538
ENSG000001841633	4	33	33	26	25	35
ENSG000002601791	1	3	15	16	12	3
ENSG0000016008716	152	2013	2657	2475	2163	1620
ENSG000002304151	2	24	34	14	18	23
ENSG0000016257215	21	177	188	219	135	91
ENSG0000013158414	140	1510	2042	2306	1753	1322
ENSG000001699727	39	526	670	651	583	363
ENSG0000012705414	245	3224	4348	3945	3289	2441
ENSG000002407311	5	83	100	110	95	69
ENSG000002240512	28	368	573	438	409	294
ENSG000001699624	3	33	26	32	31	28
ENSG0000010740413	227	3649	4954	5206	4536	3186
ENSG0000016257612	156	2233	3316	2702	2370	1486
ENSG000001757569	203	2876	3685	3197	2816	2000
ENSG000002236632	0	0	1	0	0	0
ENSG000002219787	445	6444	8753	7992	6997	5128
ENSG000002248703	66	956	1272	881	868	616
ENSG000002424851	128	1697	2297	2121	1769	1348
ENSG000002642931	0	0	0	0	0	0
ENSG000002724551	12	140	154	165	190	119
ENSG000002350984	4	42	46	74	53	28
ENSG000002259051	1	4	5	6	7	0
ENSG000002051163	1	38	34	27	33	16
ENSG000002252851	2	28	40	40	42	29
