"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"7SK",6.52406794770794,0.00466854145063053,0.164928382417193,0.885833243113205,NA
"A1BG-AS1",28.6791966498809,-0.00801885000614948,0.160320814975655,0.860912147142439,0.947050812229953
"A2M-AS1",31.2914323654857,-0.171307136070177,0.275398559126506,0.0414112974268734,0.170624222404277
"A2ML1-AS1",17.5945780447919,-0.0237091307485931,0.162418939122895,0.621090090880015,NA
"A2ML1-AS2",11.2134035220839,-0.0188411807284185,0.165673307406844,0.566362962767431,NA
"A2MP1",14.3514541114398,0.000327463733465371,0.162282324564533,0.995435071615428,NA
"AAAS",1818.17341000768,0.00228952243382358,0.0589815881771649,0.968176172916648,0.988151793368648
"AADACL3",66.602108159463,0.052612848246032,0.151763953731447,0.490724433641085,0.744449857097587
"AADAT",480.521465594369,0.178027741238406,0.120848789195567,0.0571599197794453,0.213217770633531
"AAED1",365.174738985138,0.0454137688992839,0.100860773556329,0.576010540795738,0.800992607600418
"AAGAB",1818.55676920536,0.0881760613620958,0.0639292320570259,0.134899218756059,0.368198728186622
"AAMP",2966.50104444319,0.0820699212500099,0.0492961326474526,0.0807554125091249,0.265508039176342
"AANAT",10.5460082448545,0.0176271109938347,0.164973669290616,0.637200455886681,NA
"AAR2",1182.91427877599,-0.00916565637557694,0.0681385152748935,0.879256620580793,0.954201811043904
"AARD",25.0579014517528,0.0151623665006008,0.160025195840817,0.772720413788373,0.910027590450561
"AARS2",1421.83281424864,-0.0926297091060822,0.0663271993489376,0.128398978664249,0.358344548342969
"AARSD1",61.893770345155,0.679675323355031,0.342176549690451,0.00216497788231862,0.0173713701509851
"AASDH",461.776618401272,-0.166569015305035,0.109810104568431,0.0579371707948079,0.215075542117455
"AASDHPPT",1224.0304108362,-0.0328048186999188,0.070073725379273,0.604250300322437,0.818622517421753
"AATF",2275.55820001871,0.0471986404944128,0.0534626441887179,0.352330949076211,0.638797652594673
"AATK",53.6876944492751,0.00419373997517697,0.147286942571272,0.954489600597686,0.983414571152495
"ABAT",349.954371022449,-0.637528740728678,0.140986790375081,5.41203861031439e-07,1.23903019360054e-05
"ABC7-42389800N19.1",87.924439740635,-0.00223718289198713,0.164005118662064,0.94363493287472,0.978853320134761
"ABCA17P",18.5624109190738,-0.0173363680873783,0.161769696805001,0.715711549489383,NA
"ABCA3",1220.04344305687,-0.0803726278419835,0.0681483899392313,0.196646877039581,0.461409904698616
"ABCA4",114.799517639983,0.125115178703494,0.163153527008234,0.18537330562735,0.445921420451784
"ABCA7",390.254457471724,-0.120536928606699,0.109421893054862,0.159918576728995,0.407433757090665
"ABCA8",5.63316362723246,0.00393031339953651,0.165258689332541,0.89735155056593,NA
"ABCB10",986.409478147196,-0.0154620807605512,0.0763534262446295,0.820899257792103,0.933148270302325
"ABCB6",129.116868391264,0.313548121605747,0.235588708481367,0.0194071562078293,0.098349047248699
"ABCB8",635.124139040446,-0.10999581657149,0.08970977774986,0.149389007409676,0.390854745714354
"ABCC2",60.0221286141438,0.665607644784474,0.369014407778225,0.0027165491609349,0.0209401473563416
"ABCC4",809.601878372383,0.168385548115502,0.0912490902725125,0.0303526752388656,0.136933245558712
"ABCC6P1",10.0382861738295,-0.00748047779021111,0.164061083996451,0.83222828244236,NA
"ABCC6P2",8.05421242245918,-0.0210486185818698,0.166615992017599,0.497942176257769,NA
"ABCC8",11.9458642249944,-0.0361936181752416,0.167880590637823,0.38691283936187,NA
"ABCD1",10.0197496789463,0.0334746035023393,0.169115076162507,0.337108210035859,NA
"ABCD3",1914.14187392291,0.0520737890455505,0.0632372652312377,0.373281007725511,0.655923969542363
"ABCE1",2875.58564184985,0.116159383095637,0.0513142503849414,0.0169627718965025,0.0884985641663679
