,Geneid,X_filesTien_Cont1_S25sorted,X_filesTien_Cont2_S26sorted,X_filesTien_Cont3_S27sorted,X_filesTien_Zn1_S28sorted,X_filesTien_Zn2_S29sorted,X_filesTien_Zn3_S30sorted
2,TNMD,71,945,1295,815,729,496
3,DPM1,185,2383,3464,3081,2884,2011
4,SCYL3,29,576,706,623,557,351
6,FGR,2,22,43,37,27,22
8,FUCA2,142,1528,2270,1692,1542,1078
9,GCLC,165,2356,3340,2564,2264,1720
14,ENPP4,16,219,334,264,207,135
15,SEMA3F,194,2210,3100,2659,2494,1549
17,ANKIB1,227,3146,4588,3625,3036,2066
21,MYH16,4,37,65,77,36,43
22,BAD,15,130,224,149,164,80
23,LAP3,181,3009,4052,3312,3182,2209
25,HS3ST1,8,52,99,40,72,48
27,WNT16,0,3,2,0,7,1
32,TMEM176A,0,0,0,1,2,0
33,M6PR,931,13197,18866,17169,15271,10653
34,KLHL13,16,249,300,218,204,185
35,CYP26B1,7,195,250,299,282,160
37,DBNDD1,167,2202,2939,2805,2395,1530
44,MTMR7,20,227,364,322,254,189
46,ARF5,252,2956,4264,3332,2944,1992
47,SARM1,0,0,0,29,0,1
48,POLDIP2,0,0,2,4,1,0
49,PLXND1,213,2841,4389,4270,3709,2419
51,CD38,2,18,42,25,8,7
52,FKBP4,1622,22208,30609,29347,27117,18079
58,HSPB6,2,56,79,48,48,27
60,NDUFAB1,285,4340,5828,5551,5191,3870
61,PDK4,0,0,0,7,7,0
62,SLC22A16,0,0,0,0,0,1
63,ZMYND10,0,23,19,30,25,27
65,ARX,0,8,4,4,2,0
66,SLC25A13,378,5671,7766,6502,5901,3853
68,CDC27,252,3046,4115,3205,2925,2046
69,SLC4A1,0,4,9,0,5,1
70,CALCR,0,9,10,9,6,4
72,DVL2,182,2148,2882,2623,2183,1519
73,PRSS22,0,1,16,2,2,4
74,UPF1,681,8835,12868,10444,9320,6083
75,SKAP2,15,152,251,138,80,76
76,SLC25A5,1069,15006,21094,18583,17420,11715
78,HOXA11,0,0,0,0,0,0
80,DHX33,245,3497,4739,4598,4019,2674
81,MEOX1,0,0,0,0,0,0
83,LIG3,257,3986,5900,5203,4592,3261
84,RPAP3,193,2996,4159,3955,3421,2231
85,ACSM3,8,49,51,50,52,29
90,COPZ2,0,4,7,5,1,1
91,PRKAR2B,219,2564,3459,2907,2677,1856
93,CREBBP,621,7487,11093,8647,7590,4947
95,MPO,0,0,0,1,0,0
96,PON1,0,3,3,2,2,4
97,GCFC2,86,1238,1844,1714,1307,985
99,CROT,15,107,162,155,148,86
103,SOX8,37,337,494,522,422,301
107,FBXL3,89,1078,1529,1144,1119,798
109,PDK2,33,537,694,495,461,284
113,GGNBP2,5,132,12,4,11,26
115,ASB4,4,2,0,2,2,2
116,GDE1,176,2564,3842,2990,2729,1850
118,CRLF1,12,214,255,241,187,112
119,OSBPL7,14,216,338,353,310,194
