Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
5S_rRNA	0.42857142857142855	0.8571428571428571	0.5714285714285714	0.42857142857142855	0.7142857142857143	0.5714285714285714
7SK	0.5714285714285714	11.428571428571429	18.285714285714285	10.571428571428571	17.857142857142858	7.714285714285714
A1BG	2.0	10.0	16.0	4.0	9.0	5.0
A1BG-AS1	7.0	24.0	46.0	59.0	30.0	20.0
A2M-AS1	2.0	76.0	95.0	48.0	35.0	25.0
A2ML1-AS1	2.0	37.0	30.0	28.0	26.0	17.0
A2ML1-AS2	3.0	12.0	17.0	8.0	9.0	15.0
A2MP1	2.0	16.0	32.0	23.0	12.0	23.0
A3GALT2	0.0	1.0	5.0	4.0	0.0	5.0
A4GNT	0.0	8.0	1.0	3.0	2.0	1.0
AAAS	188.0	2711.0	3916.0	3135.0	2921.0	2013.0
AACSP1	0.0	4.0	1.0	0.0	0.0	5.0
AADAC	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	8.0	81.0	133.0	115.0	108.0	81.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	35.0	753.0	937.0	982.0	859.0	544.0
AAED1	39.0	498.0	789.0	663.0	573.0	414.0
AAGAB	196.0	2633.0	3592.0	3132.0	2876.0	2197.0
AAMP	335.0	4123.0	5994.0	5321.0	4729.0	3336.0
AANAT	0.0	17.0	25.0	19.0	12.0	23.0
AAR2	140.0	1749.0	2396.0	2152.0	1733.0	1276.0
AARD	0.0	43.0	68.0	39.0	43.0	42.0
AARS2	149.0	2252.0	3158.0	2477.0	2217.0	1440.0
AARSD1	3.0	70.0	96.0	150.0	132.0	88.0
AASDH	54.0	712.0	1086.0	802.0	698.0	413.0
AASDHPPT	126.0	1851.0	2712.0	2183.0	1991.0	1241.0
AATF	251.0	3351.0	4562.0	4024.0	3537.0	2596.0
AATK	5.0	90.0	106.0	100.0	79.0	63.0
AATK-AS1	0.0	5.0	14.0	10.0	2.0	4.0
