Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Tien_Cont1_S25_R1_001 - polya	(1, 0.021089075126709222)	(2, 0.021272168912339687)	(3, 0.02164311216634427)	(4, 0.02216861510951743)	(5, 0.023000859589655913)	(6, 0.02693143137728139)	(7, 0.032478935297747355)	(8, 0.03994535720527548)	(9, 0.04893359759077112)	(10, 0.06392113175737933)	(12, 0.08224002168591331)	(14, 0.0994234923594012)	(16, 0.11365487296976931)	(18, 0.12413401989539875)	(20, 0.13327444212869116)	(22, 0.14303191419797195)	(24, 0.15199875401112117)	(26, 0.16142213936766064)	(28, 0.17337554794382112)	(30, 0.18802780647700212)	(32, 0.19980287695027577)	(34, 0.21074094726066728)	(36, 0.2205198199022945)	(38, 0.22953064978082247)	(40, 0.23759509879336438)	(42, 0.24707198558076993)	(44, 0.2564371138236997)	(46, 0.2662671100548211)	(48, 0.2753350081262729)	(50, 0.2852815185846137)	(52, 0.2954206341940723)	(54, 0.30521139604255865)	(56, 0.3155205273101026)	(58, 0.326027019411508)	(60, 0.33545278260941935)	(62, 0.3464170091749009)	(64, 0.3561554585132071)	(66, 0.36568703565216465)	(68, 0.3746871652445194)	(70, 0.38458136319268005)	(72, 0.39387872295651283)	(74, 0.4051924922036526)	(76, 0.41501416598997265)	(78, 0.42648843952971055)	(80, 0.4409112363705105)	(82, 0.45276477560905437)	(84, 0.46168643643613894)	(86, 0.4714712536811957)	(88, 0.48238435665718304)	(90, 0.48496312562492644)
Tien_Cont1_S25_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 9.986933761661826e-05)	(4, 0.00019022730974593954)	(5, 0.0003162529024526245)	(6, 0.0005231251018013337)	(7, 0.0007252416184063945)	(8, 0.0009202246108959825)	(9, 0.0011461195412192857)	(10, 0.0014516721574987011)	(12, 0.001886817128542538)	(14, 0.002320773178900462)	(16, 0.002821308787669466)	(18, 0.003564384216364542)	(20, 0.004063730904447634)	(22, 0.004837718270976425)	(24, 0.00543455645530431)	(26, 0.006013560829343513)	(28, 0.006807759847532811)	(30, 0.007581747214061603)	(32, 0.00843182550448877)	(34, 0.009382962053218468)	(36, 0.010608739280393867)	(38, 0.011974809148506894)	(40, 0.01350138330921806)	(42, 0.015438135106568905)	(44, 0.017616237803159913)	(46, 0.019650481096755556)	(48, 0.022086579582189493)	(50, 0.026284658524145195)	(52, 0.03873384702633102)	(54, 0.050051183035528524)	(56, 0.054229050325823716)	(58, 0.05704441451006362)	(60, 0.059543525791850904)	(62, 0.062301821783167025)	(64, 0.06693385677548065)	(66, 0.08140658828508891)	(68, 0.08909652728156853)	(70, 0.09314718005847111)	(72, 0.0969113029500689)	(74, 0.1007360607966482)	(76, 0.10499120793152769)	(78, 0.10957093041366117)	(80, 0.11469874533200017)	(82, 0.12100359172939214)	(84, 0.12775903906674482)	(86, 0.1348176611790051)	(88, 0.14224841546595585)	(90, 0.14798733561685368)
Tien_Cont1_S25_R2_001 - polya	(1, 0.0036927876504430513)	(2, 0.010719308904183694)	(3, 0.05051486210303424)	(4, 0.10117239468837794)	(5, 0.15090019129733837)	(6, 0.19150421056260916)	(7, 0.2268270441410583)	(8, 0.2610227809092628)	(9, 0.2913331248759064)	(10, 0.33366583481849343)	(12, 0.384027326153045)	(14, 0.4272862053099576)	(16, 0.46388950646713406)	(18, 0.4947348647424381)	(20, 0.5220491285805833)	(22, 0.5463708790522875)	(24, 0.5687784672196733)	(26, 0.590077981307789)	(28, 0.6109066828042834)	(30, 0.6301255856920529)	(32, 0.6482851602486747)	(34, 0.665462686318733)	(36, 0.681208751882953)	(38, 0.695997736295014)	(40, 0.7099830103233983)	(42, 0.7234867714739882)	(44, 0.7369489204005713)	(46, 0.7497749967601911)	(48, 0.763117064697497)	(50, 0.7767373400753063)	(52, 0.7906405785763626)	(54, 0.8046650869873819)	(56, 0.8191306849728748)	(58, 0.8336557289926632)	(60, 0.8483793227669989)	(62, 0.8637996240632791)	(64, 0.8802067295288664)	(66, 0.8963594059676685)	(68, 0.9122291192832235)	(70, 0.9276387202933305)	(72, 0.9433752744920634)	(74, 0.9594494821655952)	(76, 0.9759065222999909)	(78, 0.9920377981664465)	(80, 1.0076328708035558)	(82, 1.0226548836700555)	(84, 1.0372655299792295)	(86, 1.0515563566238932)	(88, 1.0656082102106885)	(90, 1.0689728557518199)
Tien_Cont1_S25_R2_001 - polyg	(1, 1.3282526789355356)	(2, 1.7014477487192352)	(3, 1.8916774363065465)	(4, 1.9649220840828487)	(5, 2.0202520749638273)	(6, 2.071663383264039)	(7, 2.119626821575106)	(8, 2.159467553760021)	(9, 2.195575074991172)	(10, 2.238971868947651)	(12, 2.2854146777014357)	(14, 2.3199159670859197)	(16, 2.3455990317429936)	(18, 2.3650592855300028)	(20, 2.3797828793043387)	(22, 2.3907340277422753)	(24, 2.3989423361578126)	(26, 2.4052364822690313)	(28, 2.4101598028293933)	(30, 2.414155765254744)	(32, 2.4175299221613624)	(34, 2.4203845207282377)	(36, 2.422995390554501)	(38, 2.425427922277877)	(40, 2.427642881515731)	(42, 2.429728248398821)	(44, 2.4317517914062434)	(46, 2.4337051880931972)	(48, 2.435574171411451)	(50, 2.437581069529271)	(52, 2.4395630003126865)	(54, 2.441695924023213)	(56, 2.443646942868794)	(58, 2.4455492159662535)	(60, 2.4475133129393805)	(62, 2.4492634041890433)	(64, 2.4510313292489947)	(66, 2.4529133906947935)	(68, 2.454776429409618)	(70, 2.4567262593345136)	(72, 2.4588128151382893)	(74, 2.461632935005273)	(76, 2.474258083768974)	(78, 2.486293527872462)	(80, 2.49384436314869)	(82, 2.5002918800283913)	(84, 2.506274528919901)	(86, 2.511747130837155)	(88, 2.5167001744146646)	(90, 2.5202479137414264)
Tien_Zn2_S29_R1_001 - illumina_universal_adapter	(1, 0.19647985464775905)	(2, 0.19698480729512965)	(3, 0.19705197989500922)	(4, 0.19713073397762665)	(5, 0.19718400879822082)	(6, 0.19722106954298196)	(7, 0.19737857770821682)	(8, 0.19750597401833325)	(9, 0.1976472681077351)	(10, 0.19781519960743404)	(12, 0.19801208481397764)	(14, 0.19821012816879502)	(16, 0.1983815341133153)	(18, 0.19860389858188218)	(20, 0.19883437008836558)	(22, 0.19925246161520221)	(24, 0.19981763797280971)	(26, 0.200572750647318)	(28, 0.20162666557646308)	(30, 0.2030511879532196)	(32, 0.20441780291628683)	(34, 0.2055805837831678)	(36, 0.206590489077909)	(38, 0.20726916396634745)	(40, 0.207779907355087)	(42, 0.20820147332674502)	(44, 0.20850143372965554)	(46, 0.2087307470878651)	(48, 0.20899943748738342)	(50, 0.20925191381106872)	(52, 0.2094904923554686)	(54, 0.2097337034929636)	(56, 0.20995259351670914)	(58, 0.21017148354045465)	(60, 0.21042280171586614)	(62, 0.21073434360151455)	(64, 0.2110783136388289)	(66, 0.21143154886233356)	(68, 0.21176857001000526)	(70, 0.2121461263472594)	(72, 0.21248314749493108)	(74, 0.21284796420117358)	(76, 0.21316298053164334)	(78, 0.21340387537259078)	(80, 0.21357064872401593)	(82, 0.21373163133407216)	(84, 0.21395399580263902)	(86, 0.2140211684025186)	(88, 0.21403969877489917)	(90, 0.21403969877489917)
Tien_Zn2_S29_R1_001 - polya	(1, 0.09889428109856849)	(2, 0.09927183743582266)	(3, 0.100124234565329)	(4, 0.10107159985328577)	(5, 0.10233398147171228)	(6, 0.10613734040282481)	(7, 0.11142081282783559)	(8, 0.11824462245698145)	(9, 0.12711140564108545)	(10, 0.1417515579700116)	(12, 0.160153375892194)	(14, 0.17676122213828221)	(16, 0.19044011139996614)	(18, 0.20068045843678012)	(20, 0.2096422097793345)	(22, 0.21994741311948046)	(24, 0.22965617009862674)	(26, 0.23928269855033424)	(28, 0.2510286383430697)	(30, 0.2651846846935534)	(32, 0.2770093785689063)	(34, 0.28845188351390993)	(36, 0.29856599238888115)	(38, 0.3078925604376781)	(40, 0.31719828181754695)	(42, 0.3277617522227471)	(44, 0.33789554961837276)	(46, 0.3486443237473787)	(48, 0.3590085926494877)	(50, 0.3701488208950332)	(52, 0.38201636625651614)	(54, 0.39374145938032346)	(56, 0.40611858998227224)	(58, 0.4196700829338398)	(60, 0.4329204573342229)	(62, 0.4485635660682476)	(64, 0.4632488861798514)	(66, 0.4779782159258591)	(68, 0.492133104128069)	(70, 0.5069666672187173)	(72, 0.5211261880140223)	(74, 0.5363349911453774)	(76, 0.5507550953022842)	(78, 0.5662430121676216)	(80, 0.5840669141011849)	(82, 0.5997088646869357)	(84, 0.6132441435626702)	(86, 0.6272229932272647)	(88, 0.6415075940361386)	(90, 0.6451048025745173)
Tien_Zn2_S29_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00013434519975915148)	(4, 0.0002339459513047293)	(5, 0.0003821889303493103)	(6, 0.0006694097022481859)	(7, 0.0010654964118829255)	(8, 0.0014893786800885243)	(9, 0.001945689099960125)	(10, 0.002677638808992743)	(12, 0.0045538390125257205)	(14, 0.007035750763248666)	(16, 0.00972960364807441)	(18, 0.014165311536673981)	(20, 0.016996984066080235)	(22, 0.01956344064078954)	(24, 0.021218434524029432)	(26, 0.022975345455362478)	(28, 0.02592978170179002)	(30, 0.02801560674287823)	(32, 0.03003657548063443)	(34, 0.03228917387314779)	(36, 0.03506872973023368)	(38, 0.03951601910157111)	(40, 0.04599006795203367)	(42, 0.05374271249675574)	(44, 0.061049469956070274)	(46, 0.06686221614220114)	(48, 0.07195575225031105)	(50, 0.07929609600956539)	(52, 0.0963428804514184)	(54, 0.11034373493321481)	(56, 0.11790065241966707)	(58, 0.12351535525098058)	(60, 0.1294311766334784)	(62, 0.13583921103233515)	(64, 0.14516925352595345)	(66, 0.16378301258223865)	(68, 0.17625395319436404)	(70, 0.18571949903601528)	(72, 0.19508891857094232)	(74, 0.20471197257782842)	(76, 0.2153831507724907)	(78, 0.2276548898815249)	(80, 0.24152024101528838)	(82, 0.2566966159949774)	(84, 0.2720837739604953)	(86, 0.28778594825648307)	(88, 0.3039536981585327)	(90, 0.3174299114723041)
Tien_Zn2_S29_R2_001 - illumina_universal_adapter	(1, 0.005809271741309516)	(2, 0.005890342120474521)	(3, 0.005929719161783238)	(4, 0.005950565830711382)	(5, 0.0059876265754725275)	(6, 0.0060107895409482436)	(7, 0.0060432176926142455)	(8, 0.006057115471899675)	(9, 0.006082594733922962)	(10, 0.009276767673024168)	(12, 0.026110452832500606)	(14, 0.05198927601024406)	(16, 0.08700125647506224)	(18, 0.13275622032751738)	(20, 0.17605706798782045)	(22, 0.2150646599971996)	(24, 0.24675159676797875)	(26, 0.2718556187505595)	(28, 0.29250656062043395)	(30, 0.3082226326957071)	(32, 0.31865639049424327)	(34, 0.325145495272265)	(36, 0.32973871132609944)	(38, 0.33291551204109393)	(40, 0.335525978250207)	(42, 0.3375122025397497)	(44, 0.33913476827132355)	(46, 0.34054539286879465)	(48, 0.3416618478047242)	(50, 0.3426126875375023)	(52, 0.3434430798498067)	(54, 0.3441970343760412)	(56, 0.3448733929679322)	(58, 0.3455485934115493)	(60, 0.34618673311040526)	(62, 0.3467264302059894)	(64, 0.3472985554532396)	(66, 0.34775949846620635)	(68, 0.3482864559307789)	(70, 0.3487751945023165)	(72, 0.3492060256601648)	(74, 0.3499090216623527)	(76, 0.35072899064019314)	(78, 0.3513868188597034)	(80, 0.3520075863344526)	(82, 0.35270710789181925)	(84, 0.3537760787485235)	(86, 0.3543725251095232)	(88, 0.3545045540127348)	(90, 0.3545045540127348)
Tien_Zn2_S29_R2_001 - polya	(1, 0.01994331327459128)	(2, 0.0610969540352955)	(3, 0.26716627639000085)	(4, 0.5054413859421415)	(5, 0.7107278000637677)	(6, 0.8670755007283015)	(7, 0.9960190969385161)	(8, 1.1102472611820084)	(9, 1.2110200587806574)	(10, 1.341083584371623)	(12, 1.485471087812771)	(14, 1.602398895682458)	(16, 1.694801755706457)	(18, 1.7663452071713004)	(20, 1.8274282634273105)	(22, 1.8799746087572455)	(24, 1.9273984642722262)	(26, 1.972360096557138)	(28, 2.0155821901348236)	(30, 2.0551248466466916)	(32, 2.0912000072268455)	(34, 2.124808311983835)	(36, 2.1560065101830768)	(38, 2.1848652488692712)	(40, 2.2121616455341284)	(42, 2.2380288872291336)	(44, 2.263420129983613)	(46, 2.287886012267338)	(48, 2.3123333641786825)	(50, 2.3360893015705764)	(52, 2.35974100561783)	(54, 2.3841582456740555)	(56, 2.4085210527614134)	(58, 2.4330263120864473)	(60, 2.4578118432937366)	(62, 2.482886911569473)	(64, 2.5216860368895704)	(66, 2.5584306071719722)	(68, 2.5941872769768346)	(70, 2.6218704951651364)	(72, 2.6487916517892867)	(74, 2.676510772574076)	(76, 2.7042333678036865)	(78, 2.731268022958668)	(80, 2.757656431376877)	(82, 2.782811411883505)	(84, 2.8070120782125327)	(86, 2.8305502837289547)	(88, 2.8532997902709294)	(90, 2.858794045681769)
Tien_Zn2_S29_R2_001 - polyg	(1, 1.2099059201412756)	(2, 1.5851621749237041)	(3, 1.7778270891576127)	(4, 1.8464635884552538)	(5, 1.8977255473495602)	(6, 1.9479567542801974)	(7, 1.9955867601879118)	(8, 2.0360501445774397)	(9, 2.0726221507670473)	(10, 2.117062616328756)	(12, 2.164853604846526)	(14, 2.201229883977864)	(16, 2.2291354666347325)	(18, 2.2498975907388905)	(20, 2.264723046791622)	(22, 2.2755389935205077)	(24, 2.2836668781059366)	(26, 2.289719360984741)	(28, 2.2945233600244044)	(30, 2.2982942908038506)	(32, 2.3015567944911055)	(34, 2.3046502085303873)	(36, 2.3073371125255706)	(38, 2.310266069509975)	(40, 2.31354710356961)	(42, 2.3170250228357885)	(44, 2.3209013451081497)	(46, 2.3248529470183064)	(48, 2.32900838302465)	(50, 2.3334081883167626)	(52, 2.338134591422082)	(54, 2.3430706193649575)	(56, 2.3479719028596184)	(58, 2.352845390795709)	(60, 2.357816163186798)	(62, 2.3627116559400902)	(64, 2.3673940494110064)	(66, 2.3724007243985823)	(68, 2.3772290445519952)	(70, 2.3823283714014742)	(72, 2.388033409798143)	(74, 2.403023322905752)	(76, 2.612329669685689)	(78, 2.777109847931657)	(80, 2.8553856153120174)	(82, 2.9170859645979554)	(84, 2.972417656526345)	(86, 3.0180093214721966)	(88, 3.052754927834044)	(90, 3.0731719237526134)
