# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-a" "data/sacCer3.ensGene.gtf" "-o" "data/sacCer.featureCounts.tsv" "bam/WT_C_1.bam" "bam/WT_C_2.bam" "bam/WT_C_3.bam" "bam/WT_E_1.bam" "bam/WT_E_2.bam" "bam/WT_E_3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/WT_C_1.bam	bam/WT_C_2.bam	bam/WT_C_3.bam	bam/WT_E_1.bam	bam/WT_E_2.bam	bam/WT_E_3.bam
YDL248W	chrIV	1802	2953	+	1152	248	224	319	523	485	586
YDL247W-A	chrIV	3762	3836	+	75	0	2	12	0	0	12
YDL247W	chrIV	5985	7814	+	1830	2	0	1	0	0	5
YDL246C	chrIV	8683	9756	-	1074	0	0	4	0	0	12
YDL245C	chrIV	11657	13360	-	1704	22	6	10	60	34	28
YDL244W	chrIV	16204	17226	+	1023	14	17	8	58	112	55
YDL243C	chrIV	17577	18566	-	990	204	189	185	503	563	344
YDL242W	chrIV	18959	19312	+	354	18	23	24	32	46	38
YDL241W	chrIV	20635	21006	+	372	152	106	125	22	13	29
YDL240C-A	chrIV	22471	22608	-	138	6	1	2	1	3	4
YDL240W	chrIV	22823	25876	+	3054	335	286	554	178	211	333
YDL239C	chrIV	26403	28775	-	2373	147	221	233	625	800	786
YDL238C	chrIV	28985	30454	-	1470	165	139	174	902	535	610
YDL237W	chrIV	30657	31829	+	1173	946	630	987	1408	1644	2040
YDL236W	chrIV	32296	33234	+	939	3200	3125	3219	5257	2445	2865
YDL235C	chrIV	33415	33918	-	504	2061	2328	1739	2233	1711	1638
YDL234C	chrIV	34237	36477	-	2241	1076	1076	1656	4617	5773	3900
YDL233W	chrIV	36797	38173	+	1377	248	236	310	612	951	768
YDL232W	chrIV	38487	38597	+	111	843	859	820	561	533	652
YDL231C	chrIV	38867	42244	-	3378	1101	996	1150	982	750	780
YDL230W	chrIV	42700	43707	+	1008	709	766	897	1050	1892	2062
YDL229W	chrIV	44065	45906	+	1842	10737	7710	9052	3732	619	1322
YDL228C	chrIV	45277	45918	-	642	41	50	50	13	5	1
YDL227C	chrIV	46271	48031	-	1761	1700	1403	1108	172	58	170
YDL226C	chrIV	51115	52173	-	1059	2289	2383	2800	2885	2846	3132
YDL225W	chrIV	52445	54100	+	1656	1826	1728	2137	2349	2210	2279
YDL224C	chrIV	54397	56346	-	1950	526	316	530	502	827	916
YDL223C	chrIV	57265	60405	-	3141	221	194	189	2739	4882	5216
YDL222C	chrIV	60872	61801	-	930	35	35	119	184	1685	1939
